"","case","Applicant","Homeownership"
"297",297,"indiv","mortgage"
"298",298,"indiv","rent"
"299",299,"indiv","mortgage"
"300",300,"indiv","mortgage"
"301",301,"indiv","mortgage"
"302",302,"indiv","rent"
"303",303,"indiv","mortgage"
"304",304,"indiv","rent"
"305",305,"indiv","rent"
"306",306,"indiv","mortgage"
"307",307,"indiv","mortgage"
"308",308,"indiv","mortgage"
"309",309,"indiv","mortgage"
"310",310,"indiv","mortgage"
"311",311,"indiv","own"
"312",312,"joint","rent"
"313",313,"indiv","mortgage"
"314",314,"indiv","mortgage"
"315",315,"indiv","own"
"316",316,"indiv","mortgage"
"317",317,"joint","mortgage"
"318",318,"indiv","rent"
"319",319,"indiv","rent"
"320",320,"indiv","mortgage"
"321",321,"indiv","own"
"322",322,"indiv","mortgage"
"323",323,"indiv","mortgage"
"324",324,"indiv","rent"
"325",325,"indiv","mortgage"
"326",326,"indiv","mortgage"
"327",327,"indiv","mortgage"
"328",328,"indiv","own"
"329",329,"indiv","mortgage"
"330",330,"indiv","mortgage"
"331",331,"indiv","rent"
"332",332,"indiv","rent"
"333",333,"indiv","rent"
"334",334,"indiv","mortgage"
"335",335,"indiv","own"
"336",336,"indiv","mortgage"
"337",337,"indiv","rent"
"338",338,"indiv","own"
"339",339,"indiv","mortgage"
"340",340,"indiv","mortgage"
"341",341,"joint","mortgage"
"342",342,"indiv","mortgage"
"343",343,"indiv","rent"
"344",344,"indiv","mortgage"
"345",345,"joint","own"
"346",346,"indiv","mortgage"
"347",347,"indiv","mortgage"
"348",348,"indiv","mortgage"
"349",349,"indiv","mortgage"
"350",350,"indiv","mortgage"
"351",351,"indiv","rent"
"352",352,"indiv","mortgage"
"353",353,"indiv","mortgage"
"354",354,"indiv","own"
"355",355,"indiv","own"
"356",356,"indiv","mortgage"
"357",357,"indiv","mortgage"
"358",358,"joint","rent"
"359",359,"indiv","mortgage"
"360",360,"indiv","mortgage"
"361",361,"joint","own"
"362",362,"indiv","rent"
"363",363,"indiv","mortgage"
"364",364,"indiv","mortgage"
"365",365,"joint","own"
"366",366,"indiv","rent"
"367",367,"indiv","rent"
"368",368,"indiv","own"
"369",369,"indiv","rent"
"370",370,"indiv","rent"
"371",371,"joint","rent"
"372",372,"indiv","own"
"373",373,"indiv","rent"
"374",374,"joint","mortgage"
"375",375,"indiv","rent"
"376",376,"indiv","own"
"377",377,"indiv","rent"
"378",378,"indiv","mortgage"
"379",379,"indiv","mortgage"
"380",380,"indiv","own"
"381",381,"indiv","rent"
"382",382,"indiv","mortgage"
"383",383,"indiv","mortgage"
"384",384,"indiv","own"
"385",385,"joint","mortgage"
"386",386,"indiv","rent"
"387",387,"indiv","mortgage"
"388",388,"indiv","own"
"389",389,"indiv","mortgage"
"390",390,"indiv","rent"
"391",391,"indiv","mortgage"
"392",392,"indiv","own"
"393",393,"indiv","mortgage"
"394",394,"indiv","rent"
"395",395,"indiv","rent"
"396",396,"indiv","rent"
"397",397,"indiv","mortgage"
"398",398,"indiv","own"
"399",399,"indiv","own"
"400",400,"indiv","rent"
"401",401,"indiv","rent"
"402",402,"indiv","rent"
"403",403,"indiv","mortgage"
"404",404,"joint","mortgage"
"405",405,"indiv","rent"
"406",406,"indiv","own"
"407",407,"indiv","rent"
"408",408,"indiv","rent"
"409",409,"indiv","mortgage"
"410",410,"indiv","mortgage"
"411",411,"indiv","rent"
"412",412,"indiv","mortgage"
"413",413,"indiv","rent"
"414",414,"indiv","mortgage"
"415",415,"indiv","mortgage"
"416",416,"joint","mortgage"
"417",417,"joint","own"
"418",418,"indiv","rent"
"419",419,"indiv","mortgage"
"420",420,"indiv","rent"
"421",421,"joint","mortgage"
"422",422,"indiv","mortgage"
"423",423,"indiv","rent"
"424",424,"indiv","rent"
"425",425,"joint","mortgage"
"426",426,"indiv","mortgage"
"427",427,"indiv","mortgage"
"428",428,"indiv","own"
"429",429,"indiv","rent"
"430",430,"indiv","rent"
"431",431,"indiv","mortgage"
"432",432,"indiv","mortgage"
"433",433,"indiv","rent"
"434",434,"indiv","mortgage"
"435",435,"indiv","rent"
"436",436,"joint","mortgage"
"437",437,"joint","mortgage"
"438",438,"indiv","rent"
"439",439,"indiv","mortgage"
"440",440,"joint","mortgage"
"441",441,"joint","mortgage"
"442",442,"indiv","rent"
"443",443,"joint","rent"
"444",444,"indiv","rent"
"445",445,"joint","mortgage"
"446",446,"indiv","rent"
"447",447,"indiv","mortgage"
"448",448,"indiv","rent"
"449",449,"indiv","mortgage"
"450",450,"indiv","rent"
"451",451,"indiv","mortgage"
"452",452,"indiv","mortgage"
"453",453,"indiv","rent"
"454",454,"indiv","rent"
"455",455,"indiv","mortgage"
"456",456,"indiv","mortgage"
"457",457,"joint","mortgage"
"458",458,"indiv","rent"
"459",459,"indiv","rent"
"460",460,"indiv","rent"
"461",461,"indiv","mortgage"
"462",462,"indiv","rent"
"463",463,"indiv","rent"
"464",464,"indiv","own"
"465",465,"indiv","rent"
"466",466,"indiv","mortgage"
"467",467,"indiv","rent"
"468",468,"indiv","mortgage"
"469",469,"indiv","rent"
"470",470,"indiv","mortgage"
"471",471,"indiv","mortgage"
"472",472,"indiv","rent"
"473",473,"indiv","mortgage"
"474",474,"indiv","own"
"475",475,"indiv","rent"
"476",476,"indiv","mortgage"
"477",477,"indiv","own"
"478",478,"indiv","mortgage"
"479",479,"joint","rent"
"480",480,"indiv","mortgage"
"481",481,"indiv","rent"
"482",482,"indiv","own"
"483",483,"indiv","own"
"484",484,"indiv","own"
"485",485,"indiv","own"
"486",486,"joint","own"
"487",487,"indiv","rent"
"488",488,"indiv","rent"
"489",489,"indiv","mortgage"
"490",490,"joint","own"
"491",491,"joint","mortgage"
"492",492,"indiv","mortgage"
"493",493,"indiv","rent"
"494",494,"indiv","own"
"495",495,"indiv","mortgage"
"496",496,"indiv","mortgage"
"497",497,"indiv","rent"
"498",498,"indiv","rent"
"499",499,"indiv","mortgage"
"500",500,"indiv","mortgage"
"501",501,"indiv","rent"
"502",502,"indiv","mortgage"
"503",503,"indiv","rent"
"504",504,"indiv","own"
"505",505,"indiv","mortgage"
"506",506,"indiv","mortgage"
"507",507,"indiv","own"
"508",508,"indiv","mortgage"
"509",509,"indiv","mortgage"
"510",510,"indiv","rent"
"511",511,"joint","rent"
"512",512,"indiv","mortgage"
"513",513,"indiv","mortgage"
"514",514,"indiv","rent"
"515",515,"indiv","mortgage"
"516",516,"indiv","mortgage"
"517",517,"indiv","own"
"518",518,"indiv","own"
"519",519,"joint","rent"
"520",520,"indiv","rent"
"521",521,"indiv","mortgage"
"522",522,"indiv","rent"
"523",523,"indiv","rent"
"524",524,"indiv","rent"
"525",525,"indiv","mortgage"
"526",526,"indiv","mortgage"
"527",527,"joint","mortgage"
"528",528,"joint","rent"
"529",529,"indiv","rent"
"530",530,"indiv","mortgage"
"531",531,"indiv","rent"
"532",532,"indiv","mortgage"
"533",533,"indiv","rent"
"534",534,"indiv","rent"
"535",535,"indiv","rent"
"536",536,"indiv","mortgage"
"537",537,"indiv","own"
"538",538,"joint","rent"
"539",539,"indiv","rent"
"540",540,"indiv","mortgage"
"541",541,"indiv","rent"
"542",542,"indiv","mortgage"
"543",543,"indiv","mortgage"
"544",544,"joint","own"
"545",545,"indiv","mortgage"
"546",546,"indiv","rent"
"547",547,"indiv","rent"
"548",548,"indiv","mortgage"
"549",549,"indiv","mortgage"
"550",550,"indiv","rent"
"551",551,"indiv","mortgage"
"552",552,"indiv","own"
"553",553,"indiv","mortgage"
"554",554,"indiv","mortgage"
"555",555,"indiv","mortgage"
"556",556,"indiv","rent"
"557",557,"indiv","rent"
"558",558,"joint","own"
"559",559,"indiv","rent"
"560",560,"indiv","rent"
"561",561,"indiv","rent"
"562",562,"indiv","mortgage"
"563",563,"indiv","mortgage"
"564",564,"indiv","mortgage"
"565",565,"joint","rent"
"566",566,"indiv","rent"
"567",567,"joint","rent"
"568",568,"indiv","own"
"569",569,"indiv","rent"
"570",570,"indiv","mortgage"
"571",571,"joint","rent"
"572",572,"indiv","mortgage"
"573",573,"indiv","rent"
"574",574,"indiv","mortgage"
"575",575,"indiv","rent"
"576",576,"indiv","rent"
"577",577,"indiv","mortgage"
"578",578,"joint","own"
"579",579,"indiv","mortgage"
"580",580,"indiv","mortgage"
"581",581,"indiv","mortgage"
"582",582,"indiv","mortgage"
"583",583,"indiv","mortgage"
"584",584,"indiv","rent"
"585",585,"indiv","mortgage"
"586",586,"indiv","mortgage"
"587",587,"indiv","rent"
"588",588,"joint","own"
"589",589,"joint","rent"
"590",590,"indiv","rent"
"591",591,"indiv","rent"
"592",592,"indiv","mortgage"
"593",593,"joint","rent"
"594",594,"indiv","mortgage"
"595",595,"indiv","rent"
"596",596,"indiv","mortgage"
"597",597,"indiv","mortgage"
"598",598,"indiv","mortgage"
"599",599,"indiv","own"
"600",600,"indiv","rent"
"601",601,"indiv","own"
"602",602,"indiv","rent"
"603",603,"indiv","mortgage"
"604",604,"indiv","mortgage"
"605",605,"indiv","rent"
"606",606,"indiv","rent"
"607",607,"indiv","own"
"608",608,"indiv","rent"
"609",609,"indiv","rent"
"610",610,"indiv","rent"
"611",611,"joint","mortgage"
"612",612,"indiv","mortgage"
"613",613,"indiv","rent"
"614",614,"joint","mortgage"
"615",615,"indiv","mortgage"
"616",616,"indiv","own"
"617",617,"indiv","rent"
"618",618,"joint","own"
"619",619,"indiv","mortgage"
"620",620,"joint","mortgage"
"621",621,"indiv","rent"
"622",622,"indiv","rent"
"623",623,"joint","mortgage"
"624",624,"indiv","own"
"625",625,"indiv","mortgage"
"626",626,"joint","mortgage"
"627",627,"indiv","rent"
"628",628,"indiv","mortgage"
"629",629,"joint","rent"
"630",630,"indiv","mortgage"
"631",631,"indiv","mortgage"
"632",632,"indiv","mortgage"
"633",633,"joint","mortgage"
"634",634,"indiv","mortgage"
"635",635,"indiv","rent"
"636",636,"indiv","rent"
"637",637,"indiv","rent"
"638",638,"indiv","mortgage"
"639",639,"indiv","mortgage"
"640",640,"indiv","own"
"641",641,"indiv","rent"
"642",642,"indiv","rent"
"643",643,"indiv","mortgage"
"644",644,"indiv","rent"
"645",645,"indiv","mortgage"
"646",646,"indiv","mortgage"
"647",647,"indiv","mortgage"
"648",648,"indiv","own"
"649",649,"indiv","mortgage"
"650",650,"joint","own"
"651",651,"indiv","rent"
"652",652,"indiv","mortgage"
"653",653,"indiv","rent"
"654",654,"indiv","own"
"655",655,"indiv","mortgage"
"656",656,"indiv","own"
"657",657,"indiv","mortgage"
"658",658,"indiv","rent"
"659",659,"joint","mortgage"
"660",660,"indiv","rent"
"661",661,"indiv","mortgage"
"662",662,"indiv","rent"
"663",663,"indiv","rent"
"664",664,"indiv","mortgage"
"665",665,"indiv","own"
"666",666,"indiv","rent"
"667",667,"indiv","rent"
"668",668,"indiv","rent"
"669",669,"joint","mortgage"
"670",670,"indiv","own"
"671",671,"joint","mortgage"
"672",672,"indiv","own"
"673",673,"indiv","mortgage"
"674",674,"indiv","own"
"675",675,"indiv","mortgage"
"676",676,"indiv","mortgage"
"677",677,"indiv","own"
"678",678,"indiv","rent"
"679",679,"indiv","rent"
"680",680,"indiv","mortgage"
"681",681,"indiv","rent"
"682",682,"indiv","mortgage"
"683",683,"indiv","mortgage"
"684",684,"indiv","rent"
"685",685,"joint","mortgage"
"686",686,"indiv","mortgage"
"687",687,"indiv","own"
"688",688,"indiv","rent"
"689",689,"indiv","mortgage"
"690",690,"indiv","rent"
"691",691,"indiv","mortgage"
"692",692,"indiv","rent"
"693",693,"indiv","rent"
"694",694,"indiv","mortgage"
"695",695,"indiv","mortgage"
"696",696,"indiv","rent"
"697",697,"joint","mortgage"
"698",698,"joint","mortgage"
"699",699,"indiv","mortgage"
"700",700,"indiv","rent"
"701",701,"indiv","mortgage"
"702",702,"indiv","rent"
"703",703,"indiv","mortgage"
"704",704,"indiv","mortgage"
"705",705,"indiv","rent"
"706",706,"joint","rent"
"707",707,"indiv","rent"
"708",708,"indiv","mortgage"
"709",709,"indiv","rent"
"710",710,"indiv","rent"
"711",711,"indiv","own"
"712",712,"indiv","rent"
"713",713,"joint","rent"
"714",714,"indiv","rent"
"715",715,"indiv","own"
"716",716,"indiv","mortgage"
"717",717,"indiv","own"
"718",718,"indiv","rent"
"719",719,"indiv","mortgage"
"720",720,"indiv","own"
"721",721,"indiv","own"
"722",722,"indiv","own"
"723",723,"indiv","own"
"724",724,"indiv","rent"
"725",725,"joint","mortgage"
"726",726,"joint","mortgage"
"727",727,"indiv","mortgage"
"728",728,"indiv","rent"
"729",729,"indiv","mortgage"
"730",730,"indiv","rent"
"731",731,"joint","mortgage"
"732",732,"indiv","own"
"733",733,"indiv","mortgage"
"734",734,"indiv","rent"
"735",735,"indiv","mortgage"
"736",736,"indiv","own"
"737",737,"indiv","mortgage"
"738",738,"joint","mortgage"
"739",739,"indiv","mortgage"
"740",740,"indiv","mortgage"
"741",741,"indiv","own"
"742",742,"indiv","rent"
"743",743,"indiv","mortgage"
"744",744,"indiv","own"
"745",745,"indiv","mortgage"
"746",746,"indiv","mortgage"
"747",747,"indiv","mortgage"
"748",748,"indiv","own"
"749",749,"indiv","rent"
"750",750,"indiv","rent"
"751",751,"indiv","rent"
"752",752,"indiv","rent"
"753",753,"indiv","mortgage"
"754",754,"indiv","rent"
"755",755,"indiv","mortgage"
"756",756,"joint","mortgage"
"757",757,"indiv","rent"
"758",758,"indiv","rent"
"759",759,"indiv","rent"
"760",760,"indiv","mortgage"
"761",761,"indiv","rent"
"762",762,"indiv","mortgage"
"763",763,"indiv","rent"
"764",764,"indiv","rent"
"765",765,"joint","mortgage"
"766",766,"indiv","mortgage"
"767",767,"indiv","own"
"768",768,"indiv","rent"
"769",769,"indiv","mortgage"
"770",770,"indiv","own"
"771",771,"indiv","mortgage"
"772",772,"indiv","rent"
"773",773,"indiv","mortgage"
"774",774,"indiv","own"
"775",775,"indiv","mortgage"
"776",776,"indiv","mortgage"
"777",777,"indiv","rent"
"778",778,"indiv","mortgage"
"779",779,"indiv","mortgage"
"780",780,"indiv","mortgage"
"781",781,"joint","rent"
"782",782,"indiv","mortgage"
"783",783,"indiv","mortgage"
"784",784,"indiv","mortgage"
"785",785,"indiv","own"
"786",786,"indiv","mortgage"
"787",787,"indiv","mortgage"
"788",788,"joint","rent"
"789",789,"indiv","rent"
"790",790,"indiv","rent"
"791",791,"indiv","own"
"792",792,"indiv","mortgage"
"793",793,"indiv","rent"
"794",794,"indiv","rent"
"795",795,"indiv","own"
"796",796,"indiv","mortgage"
"797",797,"indiv","mortgage"
"798",798,"indiv","mortgage"
"799",799,"joint","mortgage"
"800",800,"indiv","mortgage"
"801",801,"joint","mortgage"
"802",802,"indiv","mortgage"
"803",803,"indiv","rent"
"804",804,"indiv","mortgage"
"805",805,"indiv","mortgage"
"806",806,"indiv","rent"
"807",807,"indiv","mortgage"
"808",808,"indiv","rent"
"809",809,"joint","mortgage"
"810",810,"indiv","rent"
"811",811,"indiv","mortgage"
"812",812,"indiv","own"
"813",813,"indiv","mortgage"
"814",814,"indiv","rent"
"815",815,"indiv","rent"
"816",816,"indiv","rent"
"817",817,"indiv","mortgage"
"818",818,"indiv","mortgage"
"819",819,"indiv","mortgage"
"820",820,"indiv","mortgage"
"821",821,"indiv","mortgage"
"822",822,"joint","rent"
"823",823,"indiv","rent"
"824",824,"indiv","own"
"825",825,"indiv","mortgage"
"826",826,"indiv","mortgage"
"827",827,"indiv","mortgage"
"828",828,"indiv","own"
"829",829,"indiv","mortgage"
"830",830,"joint","rent"
"831",831,"joint","mortgage"
"832",832,"indiv","mortgage"
"833",833,"indiv","rent"
"834",834,"indiv","rent"
"835",835,"indiv","rent"
"836",836,"joint","own"
"837",837,"indiv","rent"
"838",838,"joint","own"
"839",839,"indiv","own"
"840",840,"indiv","rent"
"841",841,"joint","mortgage"
"842",842,"indiv","rent"
"843",843,"indiv","rent"
"844",844,"joint","mortgage"
"845",845,"indiv","rent"
"846",846,"indiv","mortgage"
"847",847,"indiv","mortgage"
"848",848,"indiv","rent"
"849",849,"indiv","mortgage"
"850",850,"indiv","own"
"851",851,"indiv","mortgage"
"852",852,"indiv","rent"
"853",853,"indiv","mortgage"
"854",854,"indiv","rent"
"855",855,"joint","mortgage"
"856",856,"indiv","rent"
"857",857,"indiv","rent"
"858",858,"indiv","rent"
"859",859,"indiv","mortgage"
"860",860,"indiv","own"
"861",861,"joint","mortgage"
"862",862,"indiv","mortgage"
"863",863,"joint","rent"
"864",864,"indiv","mortgage"
"865",865,"indiv","rent"
"866",866,"joint","mortgage"
"867",867,"indiv","rent"
"868",868,"indiv","rent"
"869",869,"indiv","mortgage"
"870",870,"joint","mortgage"
"871",871,"joint","mortgage"
"872",872,"indiv","own"
"873",873,"indiv","rent"
"874",874,"indiv","rent"
"875",875,"joint","rent"
"876",876,"indiv","rent"
"877",877,"indiv","mortgage"
"878",878,"joint","rent"
"879",879,"indiv","mortgage"
"880",880,"indiv","mortgage"
"881",881,"indiv","rent"
"882",882,"indiv","rent"
"883",883,"indiv","own"
"884",884,"joint","mortgage"
"885",885,"indiv","rent"
"886",886,"indiv","mortgage"
"887",887,"indiv","mortgage"
"888",888,"indiv","rent"
"889",889,"indiv","own"
"890",890,"indiv","rent"
"891",891,"indiv","mortgage"
"892",892,"indiv","own"
"893",893,"indiv","rent"
"894",894,"indiv","own"
"895",895,"indiv","own"
"896",896,"indiv","own"
"897",897,"indiv","own"
"898",898,"indiv","mortgage"
"899",899,"indiv","rent"
"900",900,"indiv","mortgage"
"901",901,"indiv","rent"
"902",902,"indiv","rent"
"903",903,"indiv","rent"
"904",904,"indiv","mortgage"
"905",905,"indiv","rent"
"906",906,"indiv","mortgage"
"907",907,"indiv","own"
"908",908,"joint","rent"
"909",909,"joint","mortgage"
"910",910,"indiv","own"
"911",911,"indiv","rent"
"912",912,"indiv","mortgage"
"913",913,"joint","rent"
"914",914,"joint","own"
"915",915,"indiv","own"
"916",916,"indiv","rent"
"917",917,"indiv","rent"
"918",918,"indiv","rent"
"919",919,"indiv","mortgage"
"920",920,"indiv","rent"
"921",921,"joint","mortgage"
"922",922,"indiv","own"
"923",923,"indiv","own"
"924",924,"indiv","own"
"925",925,"indiv","mortgage"
"926",926,"indiv","rent"
"927",927,"indiv","rent"
"928",928,"indiv","rent"
"929",929,"joint","mortgage"
"930",930,"indiv","mortgage"
"931",931,"indiv","rent"
"932",932,"indiv","rent"
"933",933,"indiv","mortgage"
"934",934,"indiv","mortgage"
"935",935,"joint","mortgage"
"936",936,"indiv","mortgage"
"937",937,"indiv","mortgage"
"938",938,"indiv","rent"
"939",939,"indiv","rent"
"940",940,"indiv","mortgage"
"941",941,"joint","rent"
"942",942,"indiv","rent"
"943",943,"indiv","mortgage"
"944",944,"indiv","mortgage"
"945",945,"indiv","rent"
"946",946,"indiv","rent"
"947",947,"indiv","own"
"948",948,"indiv","mortgage"
"949",949,"indiv","rent"
"950",950,"indiv","mortgage"
"951",951,"indiv","rent"
"952",952,"indiv","mortgage"
