"Applicant" "Homeownership"
"199" "indiv" "mortgage"
"200" "indiv" "mortgage"
"201" "indiv" "rent"
"202" "indiv" "mortgage"
"203" "indiv" "mortgage"
"204" "indiv" "mortgage"
"205" "indiv" "own"
"206" "indiv" "mortgage"
"207" "indiv" "mortgage"
"208" "indiv" "mortgage"
"209" "indiv" "mortgage"
"210" "indiv" "rent"
"211" "indiv" "rent"
"212" "indiv" "own"
"213" "indiv" "mortgage"
"214" "indiv" "rent"
"215" "indiv" "mortgage"
"216" "indiv" "mortgage"
"217" "indiv" "rent"
"218" "joint" "mortgage"
"219" "indiv" "rent"
"220" "joint" "mortgage"
"221" "indiv" "rent"
"222" "indiv" "mortgage"
"223" "indiv" "mortgage"
"224" "joint" "mortgage"
"225" "indiv" "mortgage"
"226" "indiv" "rent"
"227" "indiv" "mortgage"
"228" "indiv" "mortgage"
"229" "indiv" "mortgage"
"230" "indiv" "mortgage"
"231" "indiv" "rent"
"232" "indiv" "own"
"233" "indiv" "mortgage"
"234" "joint" "rent"
"235" "indiv" "mortgage"
"236" "indiv" "rent"
"237" "indiv" "rent"
"238" "indiv" "mortgage"
"239" "indiv" "mortgage"
"240" "indiv" "mortgage"
"241" "indiv" "mortgage"
"242" "indiv" "mortgage"
"243" "indiv" "mortgage"
"244" "indiv" "rent"
"245" "indiv" "rent"
"246" "joint" "own"
"247" "joint" "mortgage"
"248" "indiv" "rent"
"249" "indiv" "mortgage"
"250" "joint" "mortgage"
"251" "joint" "rent"
"252" "indiv" "mortgage"
"253" "indiv" "mortgage"
"254" "indiv" "mortgage"
"255" "indiv" "own"
"256" "indiv" "own"
"257" "indiv" "rent"
"258" "indiv" "mortgage"
"259" "joint" "mortgage"
"260" "indiv" "rent"
"261" "indiv" "rent"
"262" "indiv" "rent"
"263" "indiv" "own"
"264" "joint" "rent"
"265" "indiv" "mortgage"
"266" "indiv" "mortgage"
"267" "joint" "own"
"268" "indiv" "mortgage"
"269" "indiv" "mortgage"
"270" "indiv" "mortgage"
"271" "indiv" "mortgage"
"272" "indiv" "mortgage"
"273" "indiv" "mortgage"
"274" "indiv" "mortgage"
"275" "indiv" "mortgage"
"276" "indiv" "rent"
"277" "indiv" "mortgage"
"278" "indiv" "mortgage"
"279" "indiv" "mortgage"
"280" "indiv" "rent"
"281" "indiv" "mortgage"
"282" "indiv" "mortgage"
"283" "indiv" "rent"
"284" "indiv" "own"
"285" "indiv" "mortgage"
"286" "indiv" "rent"
"287" "indiv" "rent"
"288" "indiv" "mortgage"
"289" "indiv" "mortgage"
"290" "indiv" "mortgage"
"291" "indiv" "own"
"292" "indiv" "rent"
"293" "indiv" "mortgage"
"294" "indiv" "rent"
"295" "indiv" "mortgage"
"296" "indiv" "rent"
"297" "indiv" "mortgage"
"298" "indiv" "rent"
"299" "indiv" "mortgage"
"300" "indiv" "mortgage"
"301" "indiv" "mortgage"
"302" "indiv" "rent"
"303" "indiv" "mortgage"
"304" "indiv" "rent"
"305" "indiv" "rent"
"306" "indiv" "mortgage"
"307" "indiv" "mortgage"
"308" "indiv" "mortgage"
"309" "indiv" "mortgage"
"310" "indiv" "mortgage"
"311" "indiv" "own"
"312" "joint" "rent"
"313" "indiv" "mortgage"
"314" "indiv" "mortgage"
"315" "indiv" "own"
"316" "indiv" "mortgage"
"317" "joint" "mortgage"
"318" "indiv" "rent"
"319" "indiv" "rent"
"320" "indiv" "mortgage"
"321" "indiv" "own"
"322" "indiv" "mortgage"
"323" "indiv" "mortgage"
"324" "indiv" "rent"
"325" "indiv" "mortgage"
"326" "indiv" "mortgage"
"327" "indiv" "mortgage"
"328" "indiv" "own"
"329" "indiv" "mortgage"
"330" "indiv" "mortgage"
"331" "indiv" "rent"
"332" "indiv" "rent"
"333" "indiv" "rent"
"334" "indiv" "mortgage"
"335" "indiv" "own"
"336" "indiv" "mortgage"
"337" "indiv" "rent"
"338" "indiv" "own"
"339" "indiv" "mortgage"
"340" "indiv" "mortgage"
"341" "joint" "mortgage"
"342" "indiv" "mortgage"
"343" "indiv" "rent"
"344" "indiv" "mortgage"
"345" "joint" "own"
"346" "indiv" "mortgage"
"347" "indiv" "mortgage"
"348" "indiv" "mortgage"
"349" "indiv" "mortgage"
"350" "indiv" "mortgage"
"351" "indiv" "rent"
"352" "indiv" "mortgage"
"353" "indiv" "mortgage"
"354" "indiv" "own"
"355" "indiv" "own"
"356" "indiv" "mortgage"
"357" "indiv" "mortgage"
"358" "joint" "rent"
"359" "indiv" "mortgage"
"360" "indiv" "mortgage"
"361" "joint" "own"
"362" "indiv" "rent"
"363" "indiv" "mortgage"
"364" "indiv" "mortgage"
"365" "joint" "own"
"366" "indiv" "rent"
"367" "indiv" "rent"
"368" "indiv" "own"
"369" "indiv" "rent"
"370" "indiv" "rent"
"371" "joint" "rent"
"372" "indiv" "own"
"373" "indiv" "rent"
"374" "joint" "mortgage"
"375" "indiv" "rent"
"376" "indiv" "own"
"377" "indiv" "rent"
"378" "indiv" "mortgage"
"379" "indiv" "mortgage"
"380" "indiv" "own"
"381" "indiv" "rent"
"382" "indiv" "mortgage"
"383" "indiv" "mortgage"
"384" "indiv" "own"
"385" "joint" "mortgage"
"386" "indiv" "rent"
"387" "indiv" "mortgage"
"388" "indiv" "own"
"389" "indiv" "mortgage"
"390" "indiv" "rent"
"391" "indiv" "mortgage"
"392" "indiv" "own"
"393" "indiv" "mortgage"
"394" "indiv" "rent"
"395" "indiv" "rent"
"396" "indiv" "rent"
"397" "indiv" "mortgage"
"398" "indiv" "own"
"399" "indiv" "own"
"400" "indiv" "rent"
"401" "indiv" "rent"
"402" "indiv" "rent"
"403" "indiv" "mortgage"
"404" "joint" "mortgage"
"405" "indiv" "rent"
"406" "indiv" "own"
"407" "indiv" "rent"
"408" "indiv" "rent"
"409" "indiv" "mortgage"
"410" "indiv" "mortgage"
"411" "indiv" "rent"
"412" "indiv" "mortgage"
"413" "indiv" "rent"
"414" "indiv" "mortgage"
"415" "indiv" "mortgage"
"416" "joint" "mortgage"
"417" "joint" "own"
"418" "indiv" "rent"
"419" "indiv" "mortgage"
"420" "indiv" "rent"
"421" "joint" "mortgage"
"422" "indiv" "mortgage"
"423" "indiv" "rent"
"424" "indiv" "rent"
"425" "joint" "mortgage"
"426" "indiv" "mortgage"
"427" "indiv" "mortgage"
"428" "indiv" "own"
"429" "indiv" "rent"
"430" "indiv" "rent"
"431" "indiv" "mortgage"
"432" "indiv" "mortgage"
"433" "indiv" "rent"
"434" "indiv" "mortgage"
"435" "indiv" "rent"
"436" "joint" "mortgage"
"437" "joint" "mortgage"
"438" "indiv" "rent"
"439" "indiv" "mortgage"
"440" "joint" "mortgage"
"441" "joint" "mortgage"
"442" "indiv" "rent"
"443" "joint" "rent"
"444" "indiv" "rent"
"445" "joint" "mortgage"
"446" "indiv" "rent"
"447" "indiv" "mortgage"
"448" "indiv" "rent"
"449" "indiv" "mortgage"
"450" "indiv" "rent"
"451" "indiv" "mortgage"
"452" "indiv" "mortgage"
"453" "indiv" "rent"
"454" "indiv" "rent"
"455" "indiv" "mortgage"
"456" "indiv" "mortgage"
"457" "joint" "mortgage"
"458" "indiv" "rent"
"459" "indiv" "rent"
"460" "indiv" "rent"
"461" "indiv" "mortgage"
"462" "indiv" "rent"
"463" "indiv" "rent"
"464" "indiv" "own"
"465" "indiv" "rent"
"466" "indiv" "mortgage"
"467" "indiv" "rent"
"468" "indiv" "mortgage"
"469" "indiv" "rent"
"470" "indiv" "mortgage"
"471" "indiv" "mortgage"
"472" "indiv" "rent"
"473" "indiv" "mortgage"
"474" "indiv" "own"
"475" "indiv" "rent"
"476" "indiv" "mortgage"
"477" "indiv" "own"
"478" "indiv" "mortgage"
"479" "joint" "rent"
"480" "indiv" "mortgage"
"481" "indiv" "rent"
"482" "indiv" "own"
"483" "indiv" "own"
"484" "indiv" "own"
"485" "indiv" "own"
"486" "joint" "own"
"487" "indiv" "rent"
"488" "indiv" "rent"
"489" "indiv" "mortgage"
"490" "joint" "own"
"491" "joint" "mortgage"
"492" "indiv" "mortgage"
"493" "indiv" "rent"
"494" "indiv" "own"
"495" "indiv" "mortgage"
"496" "indiv" "mortgage"
"497" "indiv" "rent"
"498" "indiv" "rent"
"499" "indiv" "mortgage"
"500" "indiv" "mortgage"
"501" "indiv" "rent"
"502" "indiv" "mortgage"
"503" "indiv" "rent"
"504" "indiv" "own"
"505" "indiv" "mortgage"
"506" "indiv" "mortgage"
"507" "indiv" "own"
"508" "indiv" "mortgage"
"509" "indiv" "mortgage"
"510" "indiv" "rent"
"511" "joint" "rent"
"512" "indiv" "mortgage"
"513" "indiv" "mortgage"
"514" "indiv" "rent"
"515" "indiv" "mortgage"
"516" "indiv" "mortgage"
"517" "indiv" "own"
"518" "indiv" "own"
"519" "joint" "rent"
"520" "indiv" "rent"
"521" "indiv" "mortgage"
"522" "indiv" "rent"
"523" "indiv" "rent"
"524" "indiv" "rent"
"525" "indiv" "mortgage"
"526" "indiv" "mortgage"
"527" "joint" "mortgage"
"528" "joint" "rent"
"529" "indiv" "rent"
"530" "indiv" "mortgage"
"531" "indiv" "rent"
"532" "indiv" "mortgage"
"533" "indiv" "rent"
"534" "indiv" "rent"
"535" "indiv" "rent"
"536" "indiv" "mortgage"
"537" "indiv" "own"
"538" "joint" "rent"
"539" "indiv" "rent"
"540" "indiv" "mortgage"
"541" "indiv" "rent"
"542" "indiv" "mortgage"
"543" "indiv" "mortgage"
"544" "joint" "own"
"545" "indiv" "mortgage"
"546" "indiv" "rent"
"547" "indiv" "rent"
"548" "indiv" "mortgage"
"549" "indiv" "mortgage"
"550" "indiv" "rent"
"551" "indiv" "mortgage"
"552" "indiv" "own"
"553" "indiv" "mortgage"
"554" "indiv" "mortgage"
"555" "indiv" "mortgage"
"556" "indiv" "rent"
"557" "indiv" "rent"
"558" "joint" "own"
"559" "indiv" "rent"
"560" "indiv" "rent"
"561" "indiv" "rent"
"562" "indiv" "mortgage"
"563" "indiv" "mortgage"
"564" "indiv" "mortgage"
"565" "joint" "rent"
"566" "indiv" "rent"
"567" "joint" "rent"
"568" "indiv" "own"
"569" "indiv" "rent"
"570" "indiv" "mortgage"
"571" "joint" "rent"
"572" "indiv" "mortgage"
"573" "indiv" "rent"
"574" "indiv" "mortgage"
"575" "indiv" "rent"
"576" "indiv" "rent"
"577" "indiv" "mortgage"
"578" "joint" "own"
"579" "indiv" "mortgage"
"580" "indiv" "mortgage"
"581" "indiv" "mortgage"
"582" "indiv" "mortgage"
"583" "indiv" "mortgage"
"584" "indiv" "rent"
"585" "indiv" "mortgage"
"586" "indiv" "mortgage"
"587" "indiv" "rent"
"588" "joint" "own"
"589" "joint" "rent"
"590" "indiv" "rent"
"591" "indiv" "rent"
"592" "indiv" "mortgage"
"593" "joint" "rent"
"594" "indiv" "mortgage"
"595" "indiv" "rent"
"596" "indiv" "mortgage"
"597" "indiv" "mortgage"
"598" "indiv" "mortgage"
"599" "indiv" "own"
"600" "indiv" "rent"
"601" "indiv" "own"
"602" "indiv" "rent"
"603" "indiv" "mortgage"
"604" "indiv" "mortgage"
"605" "indiv" "rent"
"606" "indiv" "rent"
"607" "indiv" "own"
"608" "indiv" "rent"
"609" "indiv" "rent"
"610" "indiv" "rent"
"611" "joint" "mortgage"
"612" "indiv" "mortgage"
"613" "indiv" "rent"
"614" "joint" "mortgage"
"615" "indiv" "mortgage"
"616" "indiv" "own"
"617" "indiv" "rent"
"618" "joint" "own"
"619" "indiv" "mortgage"
"620" "joint" "mortgage"
"621" "indiv" "rent"
"622" "indiv" "rent"
"623" "joint" "mortgage"
"624" "indiv" "own"
"625" "indiv" "mortgage"
"626" "joint" "mortgage"
"627" "indiv" "rent"
"628" "indiv" "mortgage"
"629" "joint" "rent"
"630" "indiv" "mortgage"
"631" "indiv" "mortgage"
"632" "indiv" "mortgage"
"633" "joint" "mortgage"
"634" "indiv" "mortgage"
"635" "indiv" "rent"
"636" "indiv" "rent"
"637" "indiv" "rent"
"638" "indiv" "mortgage"
"639" "indiv" "mortgage"
"640" "indiv" "own"
"641" "indiv" "rent"
"642" "indiv" "rent"
"643" "indiv" "mortgage"
"644" "indiv" "rent"
"645" "indiv" "mortgage"
"646" "indiv" "mortgage"
"647" "indiv" "mortgage"
"648" "indiv" "own"
"649" "indiv" "mortgage"
"650" "joint" "own"
"651" "indiv" "rent"
"652" "indiv" "mortgage"
"653" "indiv" "rent"
"654" "indiv" "own"
"655" "indiv" "mortgage"
"656" "indiv" "own"
"657" "indiv" "mortgage"
"658" "indiv" "rent"
"659" "joint" "mortgage"
"660" "indiv" "rent"
"661" "indiv" "mortgage"
"662" "indiv" "rent"
"663" "indiv" "rent"
"664" "indiv" "mortgage"
"665" "indiv" "own"
"666" "indiv" "rent"
"667" "indiv" "rent"
"668" "indiv" "rent"
"669" "joint" "mortgage"
"670" "indiv" "own"
"671" "joint" "mortgage"
"672" "indiv" "own"
"673" "indiv" "mortgage"
"674" "indiv" "own"
"675" "indiv" "mortgage"
"676" "indiv" "mortgage"
"677" "indiv" "own"
"678" "indiv" "rent"
"679" "indiv" "rent"
"680" "indiv" "mortgage"
"681" "indiv" "rent"
"682" "indiv" "mortgage"
"683" "indiv" "mortgage"
"684" "indiv" "rent"
"685" "joint" "mortgage"
"686" "indiv" "mortgage"
"687" "indiv" "own"
"688" "indiv" "rent"
"689" "indiv" "mortgage"
"690" "indiv" "rent"
"691" "indiv" "mortgage"
"692" "indiv" "rent"
"693" "indiv" "rent"
"694" "indiv" "mortgage"
"695" "indiv" "mortgage"
"696" "indiv" "rent"
"697" "joint" "mortgage"
"698" "joint" "mortgage"
"699" "indiv" "mortgage"
"700" "indiv" "rent"
"701" "indiv" "mortgage"
"702" "indiv" "rent"
"703" "indiv" "mortgage"
"704" "indiv" "mortgage"
"705" "indiv" "rent"
"706" "joint" "rent"
"707" "indiv" "rent"
"708" "indiv" "mortgage"
"709" "indiv" "rent"
"710" "indiv" "rent"
"711" "indiv" "own"
"712" "indiv" "rent"
"713" "joint" "rent"
"714" "indiv" "rent"
"715" "indiv" "own"
"716" "indiv" "mortgage"
"717" "indiv" "own"
"718" "indiv" "rent"
"719" "indiv" "mortgage"
"720" "indiv" "own"
"721" "indiv" "own"
"722" "indiv" "own"
"723" "indiv" "own"
"724" "indiv" "rent"
"725" "joint" "mortgage"
"726" "joint" "mortgage"
"727" "indiv" "mortgage"
"728" "indiv" "rent"
"729" "indiv" "mortgage"
"730" "indiv" "rent"
"731" "joint" "mortgage"
"732" "indiv" "own"
"733" "indiv" "mortgage"
"734" "indiv" "rent"
"735" "indiv" "mortgage"
"736" "indiv" "own"
"737" "indiv" "mortgage"
"738" "joint" "mortgage"
"739" "indiv" "mortgage"
"740" "indiv" "mortgage"
"741" "indiv" "own"
"742" "indiv" "rent"
"743" "indiv" "mortgage"
"744" "indiv" "own"
"745" "indiv" "mortgage"
"746" "indiv" "mortgage"
"747" "indiv" "mortgage"
"748" "indiv" "own"
"749" "indiv" "rent"
"750" "indiv" "rent"
"751" "indiv" "rent"
"752" "indiv" "rent"
"753" "indiv" "mortgage"
"754" "indiv" "rent"
"755" "indiv" "mortgage"
"756" "joint" "mortgage"
"757" "indiv" "rent"
"758" "indiv" "rent"
"759" "indiv" "rent"
"760" "indiv" "mortgage"
"761" "indiv" "rent"
"762" "indiv" "mortgage"
"763" "indiv" "rent"
"764" "indiv" "rent"
"765" "joint" "mortgage"
"766" "indiv" "mortgage"
"767" "indiv" "own"
"768" "indiv" "rent"
"769" "indiv" "mortgage"
"770" "indiv" "own"
"771" "indiv" "mortgage"
"772" "indiv" "rent"
"773" "indiv" "mortgage"
"774" "indiv" "own"
"775" "indiv" "mortgage"
"776" "indiv" "mortgage"
"777" "indiv" "rent"
"778" "indiv" "mortgage"
"779" "indiv" "mortgage"
"780" "indiv" "mortgage"
"781" "joint" "rent"
"782" "indiv" "mortgage"
"783" "indiv" "mortgage"
"784" "indiv" "mortgage"
"785" "indiv" "own"
"786" "indiv" "mortgage"
"787" "indiv" "mortgage"
"788" "joint" "rent"
"789" "indiv" "rent"
"790" "indiv" "rent"
"791" "indiv" "own"
"792" "indiv" "mortgage"
"793" "indiv" "rent"
"794" "indiv" "rent"
"795" "indiv" "own"
"796" "indiv" "mortgage"
"797" "indiv" "mortgage"
"798" "indiv" "mortgage"
"799" "joint" "mortgage"
"800" "indiv" "mortgage"
"801" "joint" "mortgage"
"802" "indiv" "mortgage"
"803" "indiv" "rent"
"804" "indiv" "mortgage"
"805" "indiv" "mortgage"
"806" "indiv" "rent"
"807" "indiv" "mortgage"
"808" "indiv" "rent"
"809" "joint" "mortgage"
"810" "indiv" "rent"
"811" "indiv" "mortgage"
"812" "indiv" "own"
"813" "indiv" "mortgage"
"814" "indiv" "rent"
"815" "indiv" "rent"
"816" "indiv" "rent"
"817" "indiv" "mortgage"
"818" "indiv" "mortgage"
"819" "indiv" "mortgage"
"820" "indiv" "mortgage"
"821" "indiv" "mortgage"
"822" "joint" "rent"
"823" "indiv" "rent"
"824" "indiv" "own"
"825" "indiv" "mortgage"
"826" "indiv" "mortgage"
"827" "indiv" "mortgage"
"828" "indiv" "own"
"829" "indiv" "mortgage"
"830" "joint" "rent"
"831" "joint" "mortgage"
"832" "indiv" "mortgage"
"833" "indiv" "rent"
"834" "indiv" "rent"
"835" "indiv" "rent"
"836" "joint" "own"
"837" "indiv" "rent"
"838" "joint" "own"
"839" "indiv" "own"
"840" "indiv" "rent"
"841" "joint" "mortgage"
"842" "indiv" "rent"
"843" "indiv" "rent"
"844" "joint" "mortgage"
"845" "indiv" "rent"
"846" "indiv" "mortgage"
"847" "indiv" "mortgage"
"848" "indiv" "rent"
"849" "indiv" "mortgage"
"850" "indiv" "own"
"851" "indiv" "mortgage"
"852" "indiv" "rent"
"853" "indiv" "mortgage"
"854" "indiv" "rent"
"855" "joint" "mortgage"
"856" "indiv" "rent"
"857" "indiv" "rent"
"858" "indiv" "rent"
"859" "indiv" "mortgage"
"860" "indiv" "own"
"861" "joint" "mortgage"
"862" "indiv" "mortgage"
"863" "joint" "rent"
"864" "indiv" "mortgage"
"865" "indiv" "rent"
"866" "joint" "mortgage"
"867" "indiv" "rent"
"868" "indiv" "rent"
"869" "indiv" "mortgage"
"870" "joint" "mortgage"
"871" "joint" "mortgage"
"872" "indiv" "own"
"873" "indiv" "rent"
"874" "indiv" "rent"
"875" "joint" "rent"
"876" "indiv" "rent"
"877" "indiv" "mortgage"
"878" "joint" "rent"
"879" "indiv" "mortgage"
"880" "indiv" "mortgage"
"881" "indiv" "rent"
"882" "indiv" "rent"
"883" "indiv" "own"
"884" "joint" "mortgage"
"885" "indiv" "rent"
"886" "indiv" "mortgage"
"887" "indiv" "mortgage"
"888" "indiv" "rent"
"889" "indiv" "own"
"890" "indiv" "rent"
"891" "indiv" "mortgage"
"892" "indiv" "own"
"893" "indiv" "rent"
"894" "indiv" "own"
"895" "indiv" "own"
"896" "indiv" "own"
"897" "indiv" "own"
"898" "indiv" "mortgage"
"899" "indiv" "rent"
"900" "indiv" "mortgage"
"901" "indiv" "rent"
"902" "indiv" "rent"
"903" "indiv" "rent"
"904" "indiv" "mortgage"
"905" "indiv" "rent"
"906" "indiv" "mortgage"
"907" "indiv" "own"
"908" "joint" "rent"
"909" "joint" "mortgage"
"910" "indiv" "own"
"911" "indiv" "rent"
"912" "indiv" "mortgage"
"913" "joint" "rent"
"914" "joint" "own"
"915" "indiv" "own"
"916" "indiv" "rent"
"917" "indiv" "rent"
"918" "indiv" "rent"
"919" "indiv" "mortgage"
"920" "indiv" "rent"
"921" "joint" "mortgage"
"922" "indiv" "own"
"923" "indiv" "own"
"924" "indiv" "own"
"925" "indiv" "mortgage"
"926" "indiv" "rent"
"927" "indiv" "rent"
"928" "indiv" "rent"
"929" "joint" "mortgage"
"930" "indiv" "mortgage"
"931" "indiv" "rent"
"932" "indiv" "rent"
"933" "indiv" "mortgage"
"934" "indiv" "mortgage"
"935" "joint" "mortgage"
"936" "indiv" "mortgage"
"937" "indiv" "mortgage"
"938" "indiv" "rent"
"939" "indiv" "rent"
"940" "indiv" "mortgage"
"941" "joint" "rent"
"942" "indiv" "rent"
"943" "indiv" "mortgage"
"944" "indiv" "mortgage"
"945" "indiv" "rent"
"946" "indiv" "rent"
"947" "indiv" "own"
"948" "indiv" "mortgage"
"949" "indiv" "rent"
"950" "indiv" "mortgage"
"951" "indiv" "rent"
"952" "indiv" "mortgage"
"953" "indiv" "mortgage"
"954" "indiv" "rent"
"955" "joint" "rent"
"956" "joint" "own"
"957" "joint" "rent"
"958" "joint" "own"
"959" "indiv" "own"
"960" "indiv" "rent"
"961" "indiv" "rent"
"962" "indiv" "rent"
"963" "indiv" "rent"
"964" "joint" "mortgage"
"965" "joint" "mortgage"
"966" "indiv" "mortgage"
"967" "joint" "mortgage"
"968" "indiv" "mortgage"
"969" "indiv" "rent"
"970" "indiv" "rent"
"971" "indiv" "rent"
"972" "indiv" "mortgage"
"973" "joint" "mortgage"
"974" "indiv" "rent"
"975" "joint" "rent"
"976" "indiv" "rent"
"977" "indiv" "mortgage"
"978" "indiv" "mortgage"
"979" "joint" "mortgage"
"980" "indiv" "rent"
"981" "indiv" "mortgage"
"982" "indiv" "mortgage"
"983" "indiv" "own"
"984" "indiv" "mortgage"
"985" "indiv" "mortgage"
"986" "indiv" "rent"
"987" "indiv" "rent"
"988" "indiv" "own"
"989" "indiv" "own"
"990" "indiv" "rent"
"991" "indiv" "mortgage"
"992" "indiv" "own"
"993" "indiv" "mortgage"
"994" "indiv" "own"
"995" "joint" "mortgage"
"996" "joint" "mortgage"
"997" "indiv" "mortgage"
"998" "indiv" "mortgage"
"999" "indiv" "mortgage"
"1000" "joint" "mortgage"
"1001" "indiv" "mortgage"
"1002" "joint" "mortgage"
"1003" "indiv" "mortgage"
"1004" "indiv" "own"
"1005" "indiv" "mortgage"
"1006" "indiv" "rent"
"1007" "indiv" "mortgage"
"1008" "indiv" "rent"
"1009" "indiv" "rent"
"1010" "indiv" "rent"
"1011" "indiv" "rent"
"1012" "indiv" "rent"
"1013" "indiv" "mortgage"
"1014" "indiv" "rent"
"1015" "indiv" "rent"
"1016" "indiv" "rent"
"1017" "joint" "mortgage"
"1018" "indiv" "own"
"1019" "indiv" "mortgage"
"1020" "indiv" "rent"
"1021" "joint" "own"
